redshift,system_number,BH1_id,BH1_halo_pynbody,BH1_mass,BH1_mdot,BH1_Lbol,BH1_x,BH1_y,BH1_z,BH2_id,BH2_halo_pynbody,BH2_mass,BH2_mdot,BH2_Lbol,BH2_x,BH2_y,BH2_z,BH3_id,BH3_halo_pynbody,BH3_mass,BH3_mdot,BH3_Lbol,BH3_x,BH3_y,BH3_z,separation_BH1_BH2_kpc,separation_BH1_BH3_kpc,separation_BH2_BH3_kpc,Halo1_Mvir,Halo1_M200,Halo2_Mvir,Halo2_M200,Halo3_Mvir,Halo3_M200
2.25,0,1981808792.0,102653.0,63778317.870000005,0.005119740983772828,2.9057857752224926e+43,1471.3018798828125,-3071.84912109375,2129.925537109375,1981808997.0,102653.0,108912174.45,0.005344253805100098,3.033211393947269e+43,1467.3250732421875,-3072.5703125,2129.889404296875,1981811455.0,102653.0,14422652.316,0.009364315828602488,5.314857883570488e+43,1468.1990966796875,-3074.519775390625,2129.4931640625,4.041832960614171,4.116625369240625,2.1728619041625383,,,,,,
2.25,1,1981809013.0,73819.0,239529330.00000003,0.058680852699382204,3.33051979762727e+44,2188.001953125,2315.66748046875,2410.62939453125,1981810903.0,73819.0,14327477.736,0.003290059228601514,1.8673224556498326e+43,2187.186279296875,2318.76025390625,2410.904541015625,1982929044.0,73819.0,1227353.862,0.0020357005175916294,1.155392357812548e+43,2187.9580078125,2315.660888671875,2411.688232421875,3.210339065808716,1.0597699377223169,3.2887386606587135,,,,,,
2.25,2,1981810104.0,102652.0,35292446.61,0.0026965949382062723,1.530492897553281e+43,1544.37646484375,-3289.607421875,2239.675537109375,1982791659.0,102652.0,1416066.3377999999,0.002564204366479459,1.4553526431309065e+43,1547.4638671875,-3290.348388671875,2239.104248046875,1983245690.0,102652.0,5054327.706,0.004022956040969914,2.2832890326379976e+43,1537.1480712890625,-3299.479736328125,2248.367919921875,3.226058929901362,15.008990139308972,16.601589431292062,,,,,,
2.25,3,1981810910.0,43942.0,10524476.736,0.0022605232419426044,1.2829938666459912e+43,-1677.15771484375,869.7269287109375,-61.03774642944336,1981817577.0,43942.0,19765868.721,0.010765935688738206,6.110368255044472e+43,-1675.947998046875,864.411865234375,-57.16432189941406,1983190865.0,43942.0,2774239.4519999996,0.002902494507155932,1.6473542857513742e+43,-1675.151123046875,862.4895629882812,-53.318355560302734,6.687057056610392,10.770091393917571,4.372838068410431,,,,,,
2.25,4,1981833522.0,100787.0,7135584.714,0.001970859269554873,1.1185907350761504e+43,562.6220703125,-2414.572509765625,788.3973388671875,1982128028.0,100787.0,25875539.16,0.05689104354401466,3.2289364948681254e+44,562.2472534179688,-2414.7265625,788.90234375,1982304487.0,100787.0,3319064.145,0.006186713255695311,3.5113618893532585e+43,560.8574829101562,-2416.177978515625,788.849365234375,0.6474950818801107,2.428091111216701,2.0101933334672046,,,,,,
2.38,0,1981808889.0,121567.0,71087645.97,0.0377526724120833,2.1427095397866306e+44,-2497.0029296875,-1239.807373046875,2974.08837890625,1981808959.0,121567.0,63290896.589999996,0.0019566990852409633,1.1105539101109222e+43,-2498.861572265625,-1246.907470703125,2980.250244140625,1982102827.0,121567.0,9109262.589,0.00677514758162888,3.845336615686068e+43,-2498.662841796875,-1246.3521728515625,2979.271728515625,9.583033033862774,8.512157533040332,1.1425157904942336,,,,,,
2.38,1,1981984676.0,90076.0,8050495.164,0.0036828350885841675,2.0902482853755612e+43,1281.1044921875,-70.1477279663086,1637.6947021484375,1982443965.0,90076.0,2599819.0919999997,0.0023355340768957144,1.3255673909483256e+43,1279.5328369140625,-69.78718566894531,1637.84765625,1983265601.0,90076.0,4760461.257,0.0023297031323112325,1.3222579509037214e+43,1278.96337890625,-70.09059143066406,1638.72509765625,1.6197178778715406,2.376835200296979,1.0891468681072787,,,,,,
2.5,0,1982593032.0,61183.0,7424632.701,0.006041011157165659,3.428666478263236e+43,-3455.429931640625,2868.7900390625,2731.7578125,1982614376.0,61183.0,3011140.5300000003,0.0026511917613640636,1.5047236436327872e+43,-3456.123779296875,2869.2509765625,2731.4375,1983197252.0,61183.0,1301709.5004,0.0031387168950404282,1.7814258445820774e+43,-3455.13330078125,2869.02783203125,2731.1162109375,0.8924617900202328,0.7457800799987426,1.0649262103186372,,,,,,
2.51,0,1981808887.0,105928.0,65345313.57,0.03909202560314842,2.2187265387506657e+44,-1183.4893798828125,-2003.9202880859375,3401.693359375,1982096562.0,105928.0,16300578.191999998,0.002048878547707335,1.1628717464333864e+43,-1182.05078125,-2005.7132568359375,3400.26611328125,1982294342.0,105928.0,1399177.8276,0.004770027340868703,2.707300552596406e+43,-1184.3060302734375,-2003.014404296875,3400.39794921875,2.7057964404092174,1.7792219571233507,3.5195644474474967,,,,,,
2.52,0,1981808887.0,105842.0,65053418.31,0.015191398544635113,8.622106066820329e+43,-1180.053955078125,-1997.3084716796875,3392.154052734375,1982096562.0,105842.0,16168807.193999998,0.006601744920518817,3.746919334882922e+43,-1178.5126953125,-1998.1002197265625,3390.6513671875,1982209764.0,105842.0,4229335.3319999995,0.01117519838958197,6.342651438551263e+43,-1179.9755859375,-1997.2667236328125,3390.821533203125,2.293558477050852,1.3354747930166626,1.6922532883357289,,,,,,
