redshift,BH1_id,BH2_id,BH3_id,BH1_halo,BH2_halo,BH3_halo,num_unique_halos,config_type,BH1_mass,BH2_mass,BH3_mass,BH1_Lbol,BH2_Lbol,BH3_Lbol,sep_BH1_BH2_kpc,sep_BH1_BH3_kpc,sep_BH2_BH3_kpc,min_separation,max_separation,mean_separation,Halo1_Mvir,Halo1_M200,Halo1_Rvir,Halo1_R200
2.65,1981808660.0,1982126683.0,1982186600.0,77995.0,77995.0,77995.0,1,All in same halo,85255716.24000001,8343784.194,7886966.121,1.3404476941415205e+43,1.3969165370285165e+43,9.448491917369482e+43,3.74402423860823,3.847580765211264,7.097813104335491,3.74402423860823,7.097813104335491,4.896472702718328,,,,
2.65,1981808887.0,1982096562.0,1982142775.0,103992.0,103992.0,103992.0,1,All in same halo,63949751.58,14693143.251,5380350.42,6.774448125319423e+43,1.1521045657813182e+44,1.7458554526063458e+43,2.696936985797572,5.906899816349732,8.151359175123657,2.696936985797572,8.151359175123657,5.585065325756987,,,,
2.65,1981813029.0,1982252697.0,1982350594.0,58592.0,58592.0,58592.0,1,All in same halo,6014834.346,29411334.540000003,1198885.1142,1.988145430295432e+43,4.653375774900458e+44,1.8182545273351926e+43,10.378860862612592,11.778047642462642,2.471931248783229,2.471931248783229,11.778047642462642,8.209613251286155,,,,
2.65,1981817427.0,1982259168.0,1982494268.0,25739.0,25746.0,25746.0,2,Two halos,2604936.219,29189725.110000003,2402222.3279999997,2.425973794790021e+43,1.2675371850967042e+43,2.5872947904556884e+43,21.35060286086127,19.082398768236843,2.377231439182432,2.377231439182432,21.35060286086127,14.270077689426849,,,,
2.65,1981826424.0,1982357923.0,1982495406.0,60676.0,60669.0,60676.0,2,Two halos,27722881.740000002,11284380.051,7549116.272999999,1.6285042781056575e+43,1.2043547520619875e+43,1.3951089279117583e+43,27.090627726876953,1.072665030713688,26.986265254342605,1.072665030713688,27.090627726876953,18.383186003977748,,,,
2.79,1981808660.0,1981813781.0,1982040170.0,77156.0,77156.0,77156.0,1,All in same halo,63667612.71,15605086.961999997,23215031.34,2.237305946229203e+44,5.149250581256698e+44,2.9180710228124366e+45,1.4609909506826941,2.6567031817369045,1.2344168840014358,1.2344168840014358,2.6567031817369045,1.7840370054736783,,,,
2.79,1981811108.0,1981833629.0,1984156384.0,83018.0,83009.0,83018.0,2,Two halos,10405966.464000002,8877876.858,1320157.0419,4.3468669655363577e+43,2.4504306378996944e+43,1.2977686357739867e+43,16.740425865053716,1.0551046747329507,17.710720293242716,1.0551046747329507,17.710720293242716,11.835416944343129,,,,
2.79,1981811918.0,1981829732.0,1982173321.0,19512.0,19512.0,19512.0,1,All in same halo,4975699.167,2115344.64,7479188.841,6.47914216287655e+43,1.1664301386317952e+43,2.2132062953402059e+43,2.0901304672212597,3.144763506729254,4.537099338213312,2.0901304672212597,4.537099338213312,3.2573311040546087,,,,
2.79,1981821217.0,1981825173.0,1982870188.0,101288.0,101288.0,101288.0,1,All in same halo,7629297.870000001,42536466.63,2388822.2249999996,3.314500267730249e+43,2.9732734569170328e+44,2.536013352773521e+43,0.7202054194464169,3.143170120213509,2.877666019908416,0.7202054194464169,3.143170120213509,2.2470138531894475,,,,
2.79,1981839323.0,1982125023.0,1983000859.0,116000.0,116000.0,116000.0,1,All in same halo,4677253.188,3331687.719,1079048.7696,4.0050989543887826e+43,1.4531499577700665e+43,1.9641377834632763e+43,1.2937624129100689,1.3184950130058761,1.0383437402661904,1.0383437402661904,1.3184950130058761,1.216867055394045,,,,
2.93,1981808650.0,1981813781.0,1982040170.0,76443.0,76443.0,76443.0,1,All in same halo,23065300.62,13583284.2,21197648.82,2.7350641297490122e+44,2.3183669323094624e+43,3.825203963247921e+43,1.2863270099564397,2.487037000453856,2.455709412841021,1.2863270099564397,2.487037000453856,2.0763578077504388,,,,
2.93,1981808959.0,1981815952.0,1982181437.0,117455.0,117455.0,117455.0,1,All in same halo,56969154.089999996,13255708.428,4993977.465,1.5217362761433556e+44,5.860820780871633e+43,1.713272486476275e+43,0.8292401291222656,1.8739657609342486,2.669125642626972,0.8292401291222656,2.669125642626972,1.7907771775611618,,,,
2.93,1981808997.0,1981811455.0,1982359789.0,100591.0,100599.0,100591.0,2,Two halos,78312551.42999999,8002131.345,1160761.5225000002,5.3575585899513965e+44,2.6846594366085065e+43,1.3839114929938747e+43,19.304201531401034,5.753064081645486,24.41711710047458,5.753064081645486,24.41711710047458,16.491460904507033,,,,
2.93,1981810761.0,1981818362.0,1982474749.0,94728.0,94728.0,94728.0,1,All in same halo,3870718.311,18065628.609,3788565.525,2.0444789730988383e+43,2.3757368737531663e+43,1.9377407371549265e+43,1.7154254820176384,1.3433707639356542,1.1838629192468624,1.1838629192468624,1.7154254820176384,1.414219721733385,,,,
2.93,1981811972.0,1982047724.0,1982200232.0,70570.0,70570.0,70570.0,1,All in same halo,90536909.88,15543203.574,26855757.689999998,2.447605572154341e+43,2.3537939061965885e+43,4.2557017692136203e+43,2.5093286334227964,1.5739090948610281,3.3466278820185726,1.5739090948610281,3.3466278820185726,2.476621870100799,,,,
2.93,1981815303.0,1982245919.0,1982477778.0,25185.0,25185.0,25185.0,1,All in same halo,36300540.54,13008413.807999998,3508377.9329999997,4.1889176479537445e+44,1.367193814665532e+43,2.0065191816469128e+43,1.2626094567656707,1.2785243548343752,1.1403375093472732,1.1403375093472732,1.2785243548343752,1.2271571069824398,,,,
2.93,1981826424.0,1981844761.0,1982495406.0,58662.0,58662.0,58662.0,1,All in same halo,24827623.23,4059096.282,7357592.364,4.405046001479927e+43,2.481049046816043e+43,2.4142270415327627e+43,1.392995555104163,3.906284272997229,3.8238869465636993,1.392995555104163,3.906284272997229,3.0410555915550304,,,,
2.93,1981854146.0,1982370541.0,1982420747.0,96746.0,96746.0,96746.0,1,All in same halo,11194262.865,3542525.298,3824863.2780000004,1.5430487453104049e+44,1.365862461843009e+43,1.3232077574905213e+43,3.873532488653836,2.068929867779978,2.0602883063700643,2.0602883063700643,3.873532488653836,2.6675835542679596,,,,
2.98,1981809775.0,1981814844.0,1982956101.0,60333.0,60333.0,60338.0,2,Two halos,50487128.04,104809712.00999999,7345944.429,5.016440019205053e+43,1.0399191484720849e+44,3.805477211060544e+43,9.082854553970531,27.054967812152583,30.67530228486073,9.082854553970531,30.67530228486073,22.27104155032795,,,,
2.98,1981824322.0,1982552077.0,1983239500.0,80038.0,80038.0,80038.0,1,All in same halo,9399624.702,1278501.2388,1124081.4783,4.0901215269165476e+43,1.4417874567502036e+43,4.397171536615007e+43,0.6612735074557475,0.41162402603353915,0.3606224385902768,0.3606224385902768,0.6612735074557475,0.47783999069318783,,,,
2.98,1982028670.0,1982341813.0,1982370036.0,8418.0,8418.0,8418.0,1,All in same halo,6118789.677,2161717.359,1048224.5505,1.2813919136562893e+43,2.447662398189449e+43,3.468715303005787e+43,1.38704336020574,1.1741426367085388,1.0964200620337123,1.0964200620337123,1.38704336020574,1.2192020196493303,,,,
3.0,1981808997.0,1981809470.0,1983251148.0,99072.0,99072.0,99072.0,1,All in same halo,74437472.61,37171049.46,6842873.103,2.3864201683534083e+44,7.529260231649628e+43,1.1378601729809953e+43,2.068221180363336,2.0702024214648223,0.9655589182936224,0.9655589182936224,2.0702024214648223,1.7013275067072602,,,,
3.0,1981810849.0,1981985461.0,1982196661.0,105112.0,105112.0,105112.0,1,All in same halo,91079882.85000001,9093094.857,1174245.2517000001,2.173471366791584e+44,1.1709139834019582e+43,1.5015603276784602e+43,1.804503708637197,0.7028378971809832,1.3059560169698057,0.7028378971809832,1.804503708637197,1.2710992075959953,,,,
3.0,1981814844.0,1981816385.0,1982860481.0,60105.0,60114.0,60105.0,2,Two halos,104342599.95,21250213.86,1360323.5022,1.9253716035131557e+44,1.2518450814019713e+43,1.9872849217638014e+43,27.02974415482151,8.181388601581782,34.75198977248766,8.181388601581782,34.75198977248766,23.32104084296365,,,,
3.0,1981978879.0,1982102827.0,1982740097.0,118031.0,118031.0,118031.0,1,All in same halo,1151638.3023,4108674.672,2487122.832,1.4756476556693613e+43,1.696330210009173e+43,6.098218307538117e+43,3.2000485975330406,1.0474845549257328,3.7613220817762203,1.0474845549257328,3.7613220817762203,2.669618411411664,,,,
